Id,Building_Class,Zoning_Class,Lot_Extent,Lot_Size,Road_Type,Lane_Type,Property_Shape,Land_Outline,Utility_Type,Lot_Configuration,Property_Slope,Neighborhood,Condition1,Condition2,House_Type,House_Design,Overall_Material,House_Condition,Construction_Year,Remodel_Year,Roof_Design,Roof_Quality,Exterior1st,Exterior2nd,Brick_Veneer_Type,Brick_Veneer_Area,Exterior_Material,Exterior_Condition,Foundation_Type,Basement_Height,Basement_Condition,Exposure_Level,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Total_Basement_Area,Heating_Type,Heating_Quality,Air_Conditioning,Electrical_System,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Grade_Living_Area,Underground_Full_Bathroom,Underground_Half_Bathroom,Full_Bathroom_Above_Grade,Half_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Functional_Rate,Fireplaces,Fireplace_Quality,Garage,Garage_Built_Year,Garage_Finish_Year,Garage_Size,Garage_Area,Garage_Quality,Garage_Condition,Pavedd_Drive,W_Deck_Area,Open_Lobby_Area,Enclosed_Lobby_Area,Three_Season_Lobby_Area,Screen_Lobby_Area,Pool_Area,Pool_Quality,Fence_Quality,Miscellaneous_Feature,Miscellaneous_Value,Month_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price
11,20,RLD,70,11200,Paved,NA,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,SS,HdBoard,HdBoard,None,0,TA,TA,CB,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,TF,0,NA,Detchd,1965,Unf,1,724.5098818,TA,TA,Y,185.5647152,22.51985112,30.47839703,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,129500
12,60,RLD,85,11924,Paved,NA,IR1,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,SS,WdShing,Wd Shng,Stone,286,Ex,TA,PC,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,TF,2,Gd,BuiltIn,2005,Fin,3,1004.528225,TA,TA,Y,141.0367575,23.53371803,103.9907756,0,0,0,NA,NA,NA,0,7,2006,New,Partial,345000
13,20,RLD,NA,12968,Paved,NA,IR2,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,SS,HdBoard,Plywood,None,0,TA,TA,CB,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,TF,0,NA,Detchd,1962,Unf,1,450.8901766,TA,TA,Y,129.0532566,98.36962389,19.65441027,0,176,0,NA,NA,NA,0,9,2008,WD,Normal,144000
14,20,RLD,91,10652,Paved,NA,IR1,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,SS,VinylSd,VinylSd,Stone,306,Gd,TA,PC,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,TF,1,Gd,Attchd,2006,RFn,3,520.9097291,TA,TA,Y,183.6509798,-14.20325012,75.12593087,0,0,0,NA,NA,NA,0,8,2007,New,Partial,279500
15,20,RLD,NA,10920,Paved,NA,IR1,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,SS,MetalSd,MetalSd,BrkFace,212,TA,TA,CB,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,TF,1,Fa,Attchd,1960,RFn,1,690.0047063,TA,TA,Y,199.9145494,6.475975967,100.2059717,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000
16,45,RMD,51,6120,Paved,NA,Reg,Lvl,AllPub,C,GS,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,TF,0,NA,Detchd,1991,Unf,2,620.1432453,TA,TA,Y,34.68412468,105.1634133,-58.76236022,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000
17,20,RLD,NA,11241,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,SS,Wd Sdng,Wd Sdng,BrkFace,180,TA,TA,CB,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,TF,1,TA,Attchd,1970,Fin,2,506.3335746,TA,TA,Y,195.9265518,154.3822832,119.542437,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,149000
18,90,RLD,72,10791,Paved,NA,Reg,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,SL,NA,NA,NA,NA,0,NA,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,TF,0,NA,CarPort,1967,Unf,2,200.2038871,TA,TA,Y,114.1591305,4.615599883,-13.43350891,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,90000
19,20,RLD,66,13695,Paved,NA,Reg,Lvl,AllPub,I,GS,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,SS,VinylSd,VinylSd,None,0,TA,TA,PC,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,TF,0,NA,Detchd,2004,Unf,2,425.8254,TA,TA,Y,88.65028415,40.70185229,-20.46854711,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,159000
20,20,RLD,70,7560,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,SS,BrkFace,Plywood,None,0,TA,TA,CB,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,MD1,0,NA,Attchd,1958,Unf,1,371.1621603,TA,TA,Y,141.0627196,146.3743432,47.20699192,0,0,0,NA,MnPrv,NA,0,5,2009,COD,Abnorml,139000
21,60,RLD,101,14215,Paved,NA,IR1,Lvl,AllPub,C,GS,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,SS,VinylSd,VinylSd,BrkFace,380,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,TF,1,Gd,BuiltIn,2005,RFn,3,310.4539721,TA,TA,Y,-143.0436666,-9.930688243,52.13659316,0,0,0,NA,NA,NA,0,11,2006,New,Partial,325300
22,45,RMD,57,7449,Paved,Grvl,Reg,Bnk,AllPub,I,GS,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,PC,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,TF,1,Gd,Attchd,1930,Unf,1,424.2486405,TA,TA,N,33.6267081,-55.03538147,-19.39209299,0,0,0,NA,GdPrv,NA,0,6,2007,WD,Normal,139400
23,20,RLD,75,9742,Paved,NA,Reg,Lvl,AllPub,I,GS,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,SS,VinylSd,VinylSd,BrkFace,281,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,TF,1,Gd,Attchd,2002,RFn,2,360.7832092,TA,TA,Y,94.32841115,-143.85371,5.708470738,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,230000
24,120,RMD,44,4224,Paved,NA,Reg,Lvl,AllPub,I,GS,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,SS,CemntBd,CmentBd,None,0,TA,TA,PC,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,TF,1,TA,Attchd,1976,Unf,2,335.7672535,TA,TA,Y,-116.9567673,-29.98222839,135.5040718,0,0,0,NA,NA,NA,0,6,2007,WD,Normal,129900
25,20,RLD,NA,8246,Paved,NA,IR1,Lvl,AllPub,I,GS,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,SS,Plywood,Plywood,None,0,TA,Gd,CB,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,TF,1,TA,Attchd,1968,Unf,1,603.2175387,TA,TA,Y,120.9240361,30.57358751,16.23256128,0,0,0,NA,MnPrv,NA,0,5,2010,WD,Normal,154000
26,20,RLD,110,14230,Paved,NA,Reg,Lvl,AllPub,C,GS,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,SS,VinylSd,VinylSd,Stone,640,Gd,TA,PC,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,TF,1,Gd,Attchd,2007,RFn,3,750.8693367,TA,TA,Y,104.5522854,30.29950026,2.502045304,0,0,0,NA,NA,NA,0,7,2009,WD,Normal,256300
27,20,RLD,60,7200,Paved,NA,Reg,Lvl,AllPub,C,GS,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,SS,Wd Sdng,Wd Sdng,None,0,TA,TA,CB,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,TF,0,NA,Detchd,2005,Unf,2,685.3301992,TA,TA,Y,-4.995048043,49.71538502,-14.66732762,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,134800
28,20,RLD,98,11478,Paved,NA,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,SS,VinylSd,VinylSd,Stone,200,Gd,TA,PC,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,TF,1,Gd,Attchd,2008,RFn,3,568.5644761,TA,TA,Y,99.74485984,25.69877575,108.2892735,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,306000
29,20,RLD,47,16321,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,CB,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,TF,2,Gd,Attchd,1957,RFn,1,804.6433059,TA,TA,Y,162.2926668,-111.5524864,30.66781417,0,0,0,NA,NA,NA,0,12,2006,WD,Normal,207500
30,30,RMD,60,6324,Paved,NA,IR1,Lvl,AllPub,I,GS,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,SS,MetalSd,MetalSd,None,0,TA,TA,BT,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,TF,0,NA,Detchd,1920,Unf,1,563.2561402,Fa,TA,Y,150.4733297,-76.90135866,90.37000244,0,0,0,NA,NA,NA,0,5,2008,WD,Normal,68500
31,70,Commer,50,8500,Paved,Paved,Reg,Lvl,AllPub,I,GS,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,SS,BrkFace,BrkFace,None,0,TA,Fa,BT,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,TF,0,NA,Detchd,1920,Unf,1,777.2836395,TA,Fa,N,129.5069536,23.74870348,95.95054246,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,40000
32,20,RLD,NA,8544,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,SS,HdBoard,HdBoard,None,0,TA,TA,CB,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,TF,0,NA,Attchd,1966,Unf,1,442.2104134,TA,TA,Y,111.1472998,38.75600319,-125.2299332,0,0,0,NA,MnPrv,NA,0,6,2008,WD,Normal,149350
33,20,RLD,85,11049,Paved,NA,Reg,Lvl,AllPub,C,GS,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,TF,0,NA,Attchd,2007,RFn,2,413.8161491,TA,TA,Y,142.0972747,66.9658477,77.11627419,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,179900
34,20,RLD,70,10552,Paved,NA,IR1,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,SS,BrkFace,BrkFace,None,0,TA,TA,CB,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,TF,1,Gd,Attchd,1959,RFn,2,593.4819916,TA,TA,Y,147.6752335,82.56880421,-1.277729336,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,165500
35,120,RLD,60,7313,Paved,NA,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,SS,MetalSd,MetalSd,BrkFace,246,Ex,TA,PC,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,TF,1,Gd,Attchd,2005,Fin,2,419.7483591,TA,TA,Y,-48.33719721,29.85031526,58.00430359,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,277500
36,60,RLD,108,13418,Paved,NA,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,SS,VinylSd,VinylSd,Stone,132,Gd,TA,PC,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,TF,1,Gd,BuiltIn,2004,Fin,3,267.9286078,TA,TA,Y,-76.63105306,93.69749224,64.90323392,0,0,0,NA,NA,NA,0,9,2006,WD,Normal,309000
37,20,RLD,112,10859,Paved,NA,Reg,Lvl,AllPub,C,GS,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,SS,VinylSd,VinylSd,None,0,TA,TA,PC,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,TF,0,NA,Attchd,1995,Unf,2,717.4739031,TA,TA,Y,22.08656973,94.7930018,-50.24089687,0,0,0,NA,NA,NA,0,6,2009,WD,Normal,145000
38,20,RLD,74,8532,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,SS,Wd Sdng,Wd Sdng,BrkFace,650,TA,TA,CB,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,TF,1,TA,Attchd,1954,Fin,2,237.1902852,TA,TA,Y,108.2243904,129.498303,42.01992953,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,153000
39,20,RLD,68,7922,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,SS,VinylSd,VinylSd,None,0,TA,Gd,CB,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,TF,0,NA,Detchd,1953,Unf,1,395.5284934,TA,TA,Y,33.81703564,155.6777554,56.528834,0,0,0,NA,NA,NA,0,1,2010,WD,Abnorml,109000
40,90,RLD,65,6040,Paved,NA,Reg,Lvl,AllPub,I,GS,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,SS,AsbShng,Plywood,None,0,TA,TA,PC,NA,NA,NA,NA,0,NA,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,TF,0,NA,NA,NA,NA,0,136.2445215,NA,NA,N,92.62674232,-51.33360649,178.232105,0,0,0,NA,NA,NA,0,6,2008,WD,AdjLand,82000
41,20,RLD,84,8658,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,SS,Wd Sdng,Wd Sdng,BrkFace,101,TA,TA,CB,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,TF,1,TA,Attchd,1965,RFn,2,621.4538684,TA,TA,Y,26.66516665,114.3559504,127.2402337,0,0,0,NA,GdWo,NA,0,12,2006,WD,Abnorml,160000
42,20,RLD,115,16905,Paved,NA,Reg,Lvl,AllPub,I,GS,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,SS,VinylSd,VinylSd,None,0,TA,Gd,CB,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,TF,2,Gd,Attchd,1959,RFn,1,544.5001003,TA,TA,P,45.28744512,70.58727182,-58.69286079,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,170000
43,85,RLD,NA,9180,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,SS,HdBoard,HdBoard,None,0,TA,TA,CB,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,TF,0,NA,Attchd,1983,RFn,2,293.2254629,TA,Gd,Y,370.5239257,57.03109643,69.94522351,0,0,0,NA,MnPrv,NA,0,12,2007,WD,Normal,144000
44,20,RLD,NA,9200,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,SS,VinylSd,VinylSd,None,0,TA,TA,CB,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,TF,0,NA,Detchd,1977,Unf,1,491.6602523,TA,TA,Y,94.88300275,5.646183412,-2.390122772,0,0,0,NA,MnPrv,NA,0,7,2008,WD,Normal,130250
45,20,RLD,70,7945,Paved,NA,Reg,Lvl,AllPub,I,GS,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,SS,BrkFace,Wd Sdng,None,0,TA,TA,CB,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,TF,0,NA,Attchd,1959,RFn,1,110.1744117,TA,TA,Y,-136.453742,-58.28739675,-35.53455452,0,0,0,NA,NA,NA,0,5,2006,WD,Normal,141000
46,120,RLD,61,7658,Paved,NA,Reg,Lvl,AllPub,I,GS,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,SS,MetalSd,MetalSd,BrkFace,412,Ex,TA,PC,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,TF,1,Gd,Attchd,2005,RFn,2,654.1359453,TA,TA,Y,-49.56180402,36.33283773,-39.84233715,0,0,0,NA,NA,NA,0,2,2010,WD,Normal,319900
47,50,RLD,48,12822,Paved,NA,IR1,Lvl,AllPub,CulDSac,GS,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,SS,VinylSd,VinylSd,None,0,Gd,TA,PC,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,TF,1,Ex,Attchd,2003,RFn,2,96.54905156,TA,TA,Y,308.2259253,167.5150576,3.620214297,0,198,0,NA,NA,NA,0,8,2009,WD,Abnorml,239686
