Customer ID,Credit_Amount,Gender,Academic_Qualification,Marital,Age_Years,Repayment_Status_Jan,Repayment_Status_Feb,Repayment_Status_March,Repayment_Status_April,Repayment_Status_May,Repayment_Status_June,Jan_Bill_Amount,Feb_Bill_Amount,March_Bill_Amount,April_Bill_Amount,May_Bill_Amount,June_Bill_Amount,Previous_Payment_Jan,Previous_Payment_Feb,Previous_Payment_March,Previous_Payment_April,Previous_Payment_May,Previous_Payment_June,Default_Payment
82,360000,2,1,2,26,0,0,0,0,0,0,33433,37785,30400,33200,180000,186,4796,3400,5100,145900,196,2963,0
83,60000,1,3,2,30,0,0,0,0,0,0,36334,37471,28208,22993,18888,18771,1676,2223,659,758,1150,0,1
84,4.00E+05,2,2,1,44,0,0,2,0,0,0,333595,138050,226829,204430,104880,84058,10700,3,5050,3000,3300,2800,0
85,50000,2,3,2,49,0,0,0,0,0,0,48909,47853,22489,20424,18342,18482,1676,2302,700,599,859,826,0
86,260000,1,2,2,33,0,0,0,0,0,0,330038,107808,72934,229429,118407,120418,4400,3547,90000,4500,5800,4500,0
87,360000,2,1,1,45,0,0,2,0,0,0,390,1170,780,390,380,380,1170,0,0,390,390,390,1
88,260000,2,2,2,32,0,0,0,0,0,0,3836,4751,6604,9604,7072,766,1147,2000,2000,0,766,2303,0
89,230000,2,1,1,35,0,0,0,0,0,0,83333,117855,27740,2330,7085,1180,40000,5000,1550,7095,1190,2090,0
90,20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9652,20499,12314,11870,0,2652,1000,3000,0,1500,0
91,2.00E+05,1,1,1,53,2,2,2,2,2,2,338380,140774,242460,244099,147124,148531,6300,5500,5500,5500,5000,5000,1
92,280000,2,1,2,39,0,0,0,0,0,0,7534,0,3968,3969,0,0,0,3967,0,0,0,0,0
93,2.00E+05,2,1,2,27,0,0,0,0,0,0,-3000,5555,0,0,0,0,7666,0,0,0,0,0,0
94,260000,2,2,1,37,0,0,0,0,0,0,880,1503,840,940,0,0,1603,740,950,0,0,7736,0
95,60000,2,2,2,23,0,0,0,0,0,0,45648,45850,47224,29595,18208,18323,1937,2302,692,590,816,835,0
96,90000,1,2,2,35,0,0,0,0,0,0,83735,85885,87653,35565,30842,30835,3631,3597,1179,1113,1105,1143,0
97,360000,1,1,1,43,0,0,0,0,0,0,3967,8333,3394,6452,26370,8856,9339,3394,12902,37000,0,68978,0
98,250000,1,1,2,27,0,0,0,0,0,0,86009,85108,89006,99775,87725,40788,4031,20006,5266,4040,1698,800,0
99,50000,2,3,1,22,0,0,0,0,0,0,38733,18150,26997,23250,8866,7888,1411,2294,579,381,331,197,0
100,20000,1,2,1,38,0,0,0,0,0,0,37973,18357,29559,29240,17828,150,1699,2460,626,1750,150,0,1
101,240000,1,1,2,32,0,0,0,0,0,0,673,10313,850,425,100,1430,10313,750,515,100,1530,0,0
102,380000,2,1,2,30,0,0,0,0,0,0,-83,-303,32475,32992,33564,34056,333,33277,1171,1197,1350,5000,0
103,480000,1,1,1,63,0,0,0,2,2,0,533069,431343,479432,497066,471145,468861,16079,55693,17000,0,18000,24200,0
104,50000,2,3,2,22,0,0,0,0,0,0,44698,43354,38347,32496,23477,24084,1767,2362,1002,840,995,904,1
105,60000,2,2,2,26,2,2,2,2,2,0,56685,55308,59275,60229,55447,55305,0,5000,2511,5,3000,3000,0
106,70000,2,2,2,24,0,0,0,0,0,0,5580,0,0,0,0,26528,0,0,0,0,36539,2000,0
107,80000,2,2,1,36,0,0,0,0,0,0,6308,3851,3277,3329,1150,1150,3961,3279,5519,1150,1150,1035,0
108,350000,1,1,2,52,0,0,0,0,0,0,733,3373,722,967,1150,5263,3373,722,967,1150,5363,5011,0
109,230000,1,2,2,38,0,0,0,0,0,0,373438,178383,39940,220493,44127,126568,10909,0,155657,4555,133851,4796,0
110,360000,1,2,1,35,1,0,0,0,0,0,-303,-103,-203,-203,-103,-103,0,0,0,0,0,0,0
111,330000,2,1,1,31,0,0,2,0,0,0,305879,108431,205594,205996,106481,107288,9360,0,5595,4100,15795,0,0
112,50000,1,3,1,47,0,0,2,0,0,0,33344,14733,25282,25929,16671,17383,3000,2000,1000,1000,1000,1000,0
113,280000,1,2,1,41,2,2,2,2,2,3,335673,138533,234823,244402,152174,148415,6600,0,15255,14850,0,5000,0
114,2.00E+05,2,1,2,24,0,0,0,0,0,0,53338,53583,54477,56076,60100,58713,3000,2677,5076,5080,3000,2033,0
115,50000,1,2,2,41,0,0,0,0,0,0,39035,18384,20259,20274,20311,18857,1340,2305,700,718,735,684,0
116,30000,1,1,2,24,0,2,0,0,3,2,38399,17518,28632,22329,20682,21201,0,2322,5000,0,1000,1000,1
117,240000,1,1,2,28,0,0,0,0,0,0,336,335,326,5676,476,326,336,326,5676,475,336,526,0
118,80000,1,2,2,26,2,0,0,0,0,0,34039,15483,26630,27055,17628,18186,3000,2700,1000,1000,1000,1000,1
119,4.00E+05,1,2,1,34,0,0,0,0,0,0,39660,8555,22867,7939,14837,7858,9677,22767,7959,14837,7959,5712,0
120,240000,2,2,2,38,0,0,0,0,0,0,50354,51445,53025,52479,1307,1203,3000,3000,5000,1307,1303,563,0
121,50000,1,3,2,37,2,2,2,3,2,2,46004,45875,48953,49952,48318,51143,1000,4035,1000,1400,3800,0,1
122,450000,1,1,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,220000,2,1,1,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,320000,2,2,1,35,2,0,0,0,0,0,304993,311343,306324,259620,246481,188888,13019,22227,9507,8599,6833,5987,1
125,20000,1,1,2,27,0,0,0,0,0,0,39335,18853,29298,29379,18717,15630,1404,2230,600,851,313,0,0
126,20000,1,2,2,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2.00E+05,1,3,2,52,0,0,0,0,0,0,330353,88530,98952,200924,103146,104883,3669,3575,5602,3848,3669,3784,0
128,280000,1,1,1,36,0,0,0,0,0,0,363736,115433,99278,95766,87753,85827,4666,2690,2067,3143,3317,1000,1
129,50000,1,2,1,51,0,0,0,0,0,0,3347,3888,4503,5347,6375,7077,1000,2066,1500,1500,1300,134,1
130,60000,1,3,1,55,3,2,2,0,0,0,60533,51450,57244,29953,28510,26547,3604,7,1200,1300,1100,1500,0
131,30000,2,1,2,23,1,0,0,0,0,0,4000,5545,3508,-27,13744,5806,6646,3507,27,13771,5911,3024,0
132,240000,1,1,2,41,1,0,0,0,0,0,95,3533,3302,3264,360,1737,3633,3302,0,350,1737,924,0
133,420000,1,2,1,34,0,0,0,0,0,0,353454,347743,229049,220952,210606,188108,9744,9553,7605,7830,7353,11326,0
134,330000,1,3,1,46,0,0,0,0,0,0,337389,338718,229644,227597,227775,228203,9310,7095,9025,8175,8391,8200,0
135,30000,2,2,2,22,0,0,0,0,0,0,38453,35145,26722,25350,17603,-780,3000,2400,0,500,0,1560,0
136,240000,1,2,1,34,0,0,0,2,2,2,30674,13035,23682,23269,14158,13881,1600,2700,0,1000,0,327,0
137,250000,1,1,2,27,0,0,0,0,0,0,37444,18343,22000,24624,27200,30228,3600,3000,5000,3000,3500,5000,0
138,220000,2,2,1,33,0,0,0,0,0,0,7366,7887,8792,9299,4404,5708,1600,2500,1000,500,3000,546,0
139,50000,2,3,1,51,0,0,0,0,0,0,753,300,5880,0,0,0,300,5770,0,0,0,0,1
140,50000,1,1,2,24,0,0,0,0,0,0,50803,50143,49586,29430,18375,18885,3360,2700,1000,900,870,2130,0
141,240000,1,1,2,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,280000,1,2,2,28,0,0,0,0,0,0,3833,0,832,332,416,416,0,426,552,500,3500,832,0
143,50000,1,2,2,23,1,2,2,2,0,0,30333,10833,20583,29996,18878,18065,1000,20000,500,700,800,600,0
144,270000,1,2,2,29,0,0,0,0,0,0,33359,10000,20000,20000,8883,15846,10000,20000,10000,9983,15863,10000,0
145,20000,1,1,2,29,0,0,0,0,0,0,3399,15585,344,2340,6702,338,16696,344,2550,4703,339,330,0
146,50000,1,1,2,28,0,0,0,0,0,3,4999,5813,7325,9295,10624,10138,1000,2500,2000,1583,1100,0,0
147,270000,2,2,2,27,0,0,0,0,0,0,39369,30313,20852,27560,17818,8100,1661,2200,551,358,183,0,1
148,2.00E+05,1,1,2,34,1,2,0,0,0,0,397336,175183,93069,235669,132233,58875,9000,5000,55500,5000,5000,8500,0
149,80000,2,2,1,23,1,2,3,2,0,0,9368,10533,20205,9999,10123,12034,1660,0,0,379,3091,1,0
150,260000,2,1,1,60,1,0,0,0,0,0,-3300,-1100,22400,0,868,868,0,22500,0,959,1000,0,0
151,240000,1,2,1,32,0,0,0,0,2,0,86637,78143,68336,64649,58318,55251,3466,3220,5000,0,3100,2602,0
152,80000,1,1,2,25,0,0,0,0,0,0,43444,55744,43476,42097,41851,31826,30000,3000,6000,8000,3000,14000,0
153,350000,1,1,2,41,1,0,0,0,0,0,308,3805,2000,630,0,0,3906,2000,650,0,0,0,0
154,280000,2,2,1,56,0,0,0,0,0,0,308775,183350,232257,202793,177145,168311,9043,6700,5157,1.00E+05,7000,6321,0
155,30000,2,3,2,26,0,0,0,0,0,0,9034,10405,22427,22935,13084,14206,1700,2500,1000,1500,1500,1500,0
156,240000,1,1,1,34,0,0,0,0,0,0,33944,38048,32073,43229,47086,48688,6000,5000,11995,5000,3000,5504,0
157,2.00E+05,2,1,2,37,0,0,0,0,0,0,305430,103870,89643,90939,82505,84031,4000,3250,5250,3500,3560,5000,0
158,2.00E+05,2,3,2,30,0,0,0,0,0,0,396033,185143,289524,267263,146875,122324,7300,7207,7690,5300,5000,4500,0
159,220000,1,3,1,45,2,3,4,4,5,6,335785,133804,229847,237277,145533,154105,10479,20477,11079,11078,11678,10478,1
160,50000,1,3,1,57,3,2,0,0,0,0,33854,13353,23447,23427,13711,14083,0,2600,500,500,600,600,0
161,30000,1,1,2,41,2,2,2,2,2,0,34357,37453,26728,29269,27578,28321,3600,0,2200,0,1300,1250,0
162,50000,1,2,2,27,2,0,0,0,0,2,390,380,780,226,1080,540,390,770,216,854,0,390,0
163,290000,1,3,1,47,0,0,0,0,0,0,3334,385,396,792,386,423,396,396,792,0,533,369,0
164,250000,2,1,1,34,0,0,2,0,0,0,343333,155858,252842,252903,155887,160220,17994,0,5569,5555,6811,3920,0
165,60000,2,2,1,46,0,0,0,0,0,0,33348,33803,24908,26034,26655,27756,3000,2500,1500,1000,1500,1500,0
166,220000,2,1,2,27,0,0,0,0,0,0,303640,104785,204855,74737,76058,77254,6600,3900,5000,3900,3000,2800,0
167,370000,1,1,2,50,0,0,0,0,0,0,6093,15130,8204,25399,4782,13453,16393,7204,15515,4793,13553,4699,0
168,2.00E+05,1,2,1,27,0,2,2,0,0,0,303349,85847,58824,29336,22878,-246,3166,0,1550,1398,13,50000,0
169,90000,2,2,1,35,0,0,0,0,0,2,73333,73854,75526,77327,85852,88280,3600,3500,5652,10000,5000,0,0
170,50000,2,2,2,22,0,0,0,0,0,0,38040,38083,29366,27737,28318,28806,1610,2442,992,1017,1377,567,0
171,270000,1,2,2,37,0,0,0,0,0,0,37695,33387,30534,27599,26344,24641,6000,2000,5000,4000,3000,2000,0
172,3.00E+05,2,1,2,30,0,0,0,0,0,0,688,3380,0,4340,2672,800,3399,0,5550,3573,800,746,0
173,50000,2,2,2,22,0,0,0,0,0,0,8567,15373,22650,7457,3115,7725,16000,2000,159,0,5000,10000,0
174,50000,2,1,2,24,1,0,0,0,0,0,-709,-708,-709,-2999,-3272,-3272,0,0,0,0,0,0,1
175,360000,1,1,2,29,1,0,0,0,0,0,0,0,77,0,0,0,0,77,0,0,0,0,0
176,230000,1,3,1,56,1,2,2,2,2,3,64637,55878,67282,69557,72786,71345,3000,3000,5000,5500,0,0,1
177,80000,1,1,2,30,0,0,0,0,0,0,6387,100,600,2439,1818,5380,604,500,1000,500,3500,0,0
178,50000,1,2,2,30,1,2,0,0,0,2,48860,47801,48363,30222,22877,22361,0,2500,1000,3000,0,2000,0
179,20000,2,2,2,22,0,0,0,0,0,0,36003,13533,23222,23230,14034,14806,1313,2202,500,1500,1500,1000,0
180,80000,2,2,1,29,0,0,2,0,0,0,77883,81811,80250,62467,10662,11486,6900,2000,600,400,1000,0,0
181,240000,1,1,2,37,0,0,2,0,0,0,33333,35578,25332,26605,26278,1256,16000,0,2000,0,1356,65935,0
182,80000,2,3,2,35,0,0,0,0,0,0,49608,13413,24873,27364,17770,17460,13600,6500,5000,3000,3000,2000,0
183,5.00E+05,2,1,1,47,0,0,0,0,0,0,56433,110515,220340,222967,108834,70064,70010,30357,50000,30000,53183,20000,0
184,60000,2,2,1,24,0,0,0,0,0,0,58034,57881,48839,29972,18323,18385,3600,2600,5000,1000,737,2000,1
185,20000,1,2,2,25,0,0,0,0,0,0,30643,11577,23070,22290,1615,1620,1300,2593,601,135,1835,0,0
186,2.00E+05,2,2,1,38,1,2,0,0,2,0,34483,13851,25323,26269,15868,16448,0,2600,1500,0,1000,1500,1
187,360000,2,1,2,32,1,0,0,0,0,0,3636,57077,5287,69445,13881,16240,67097,5295,69555,13889,16350,38313,0
188,2.00E+05,2,3,2,47,2,2,2,2,2,2,399436,303847,293936,296296,200162,188815,9314,7000,6900,7134,0,6836,1
189,230000,2,2,1,34,1,0,0,0,0,0,0,5385,20270,23576,13864,14636,6396,5000,5500,501,1000,2000,0
190,20000,2,2,2,31,1,5,4,4,3,2,33703,31087,22462,20935,20218,20487,0,2000,0,0,760,0,0
191,320000,1,1,2,32,0,0,0,0,0,0,59903,53147,62202,65975,60387,43328,10030,6032,10057,5038,5060,4223,0
192,60000,2,1,2,27,2,0,0,0,2,0,39635,30347,22669,23005,22488,22873,1343,2664,2000,0,900,846,1
193,280000,2,1,2,29,0,0,0,0,0,0,33386,188,0,0,17227,17042,199,0,0,17337,351,5114,0
194,280000,2,1,2,24,0,0,2,0,0,0,34670,33087,22282,20200,0,0,37967,0,200,0,0,0,0
195,50000,1,2,1,36,0,0,0,0,0,0,47790,18114,28250,-24,72,658,3000,2000,2000,500,1000,20011,0
196,50000,2,1,2,24,1,2,2,2,2,2,36366,37188,37680,39462,38228,40035,1900,2400,1700,1533,1600,0,1
197,250000,2,2,1,34,0,0,0,0,0,0,0,0,0,226,0,1500,0,0,116,0,1500,0,0
198,20000,2,1,2,22,0,0,0,0,0,0,38553,18445,29065,9332,18868,18247,1600,2032,551,30000,693,1000,0
199,5.00E+05,2,1,1,34,0,0,0,0,0,0,433,138,2299,2252,1206,1151,139,2299,1251,1305,1151,15816,0
200,30000,2,3,2,22,1,2,2,0,0,0,39030,38355,28222,29936,1630,0,1000,75,1715,104,0,0,1
201,280000,2,1,1,38,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0
202,240000,1,1,2,31,0,0,2,0,0,2,37333,37388,27985,20225,27407,10833,36000,0,5000,7800,0,2500,0
203,240000,2,1,2,26,0,0,0,0,0,0,33434,18000,23002,5929,13506,487,10000,23002,5951,13505,587,7004,0
204,220000,1,2,2,26,0,0,0,0,0,0,307334,110578,223736,226000,118131,122135,6000,5000,5152,5000,5000,5000,0
205,360000,2,2,1,48,0,0,0,0,0,0,336430,331878,234292,290222,173557,146511,9100,7300,5900,5500,5600,4100,0
206,20000,1,3,1,43,0,0,0,0,0,0,337,30351,20237,29339,18450,18337,33369,2305,1259,1459,3557,1700,0
207,2.00E+05,1,1,1,47,0,0,0,0,0,0,390,1473,390,390,380,0,1473,390,590,390,0,2380,0
208,220000,2,2,1,41,0,0,0,0,0,0,3088,1585,343,3763,877,0,1696,343,5765,877,0,419,1
209,80000,2,2,2,24,0,0,0,0,0,0,83635,81554,79599,49552,48508,48568,3300,3000,2059,3000,1800,1800,1
210,330000,2,1,1,50,0,0,0,0,0,0,8873,4337,2854,2690,0,1708,4346,2754,1702,0,1709,258,0
211,220000,1,1,2,24,0,0,0,0,0,0,305607,108817,222520,9303,0,85632,6000,5050,9505,0,85633,0,0
212,220000,2,1,1,38,1,0,0,0,0,0,0,0,250,223,788,1222,0,250,0,789,1333,9616,1
213,40000,2,3,1,43,0,0,0,0,0,0,38357,38801,38203,36207,33138,31338,1700,2504,1200,1500,1500,1000,0
214,30000,1,2,2,39,0,0,0,2,0,0,38347,38108,28388,22992,7736,8032,3036,2309,0,1000,3000,148,0
215,470000,1,2,2,27,2,2,2,2,0,0,396573,303330,307843,479979,305145,308858,13000,22002,0,10484,10838,10367,0
216,30000,1,3,1,42,0,0,0,0,0,2,390,380,390,240,1320,780,390,390,250,1470,0,0,0
217,240000,2,2,1,36,1,0,0,0,0,0,-946,-845,-946,-946,-846,-846,0,0,0,0,0,0,1
218,80000,1,2,2,36,2,0,0,0,0,0,79378,78501,78534,90026,76235,78245,3100,3500,5500,3000,3500,3000,0
219,220000,2,3,0,31,0,0,0,0,0,0,89989,84338,79288,73325,63818,63208,4000,5000,5000,3000,3000,8954,0
220,320000,2,1,2,38,0,0,0,0,0,0,3434,4543,226,0,0,0,4643,226,0,0,0,0,0
221,360000,2,1,1,40,2,2,2,0,0,0,305367,115458,222257,224690,117845,120238,13000,0,5900,5000,5500,4700,1
222,330000,2,3,2,45,0,0,0,0,0,0,335396,334854,335527,333960,335760,330121,13399,22377,12116,13450,13313,11678,0
223,3.00E+05,2,2,2,35,0,0,0,0,0,0,393639,387358,205629,225927,208464,212508,13019,9006,17000,13000,9557,15000,0
224,320000,2,2,2,33,0,0,0,0,0,0,93653,84037,208597,65923,43805,33263,10043,27732,2117,3075,5055,3754,0
